player,gender,cluster,archetype,n_points
Arthur Rinderknech,M,3,Big-serving baseliner,3342
Nuno Borges,M,3,Big-serving baseliner,3258
Jimmy Connors (1985–1991),M,0,Baseline grinder / counterpuncher,3230
Jeremy Chardy,M,3,Big-serving baseliner,3208
Filip Krajinovic,M,3,Big-serving baseliner,3192
Cedric Pioline,M,1,Net-rusher / serve-volleyer,3173
Thiago Seyboth Wild,M,3,Big-serving baseliner,3170
Nicolas Almagro,M,3,Big-serving baseliner,3082
Ernests Gulbis,M,3,Big-serving baseliner,3077
Henri Leconte,M,1,Net-rusher / serve-volleyer,3051
Zizou Bergs,M,3,Big-serving baseliner,2988
Guido Pella,M,0,Baseline grinder / counterpuncher,2974
Marco Cecchinato,M,3,Big-serving baseliner,2955
Ivan Ljubicic,M,3,Big-serving baseliner,2949
Christopher Eubanks,M,2,Slice & variety,2883
Vasek Pospisil,M,3,Big-serving baseliner,2859
Christopher Oconnell,M,2,Slice & variety,2857
Benoit Paire (2020–2022),M,3,Big-serving baseliner,2848
Radek Stepanek,M,1,Net-rusher / serve-volleyer,2839
Thomas Enqvist,M,3,Big-serving baseliner,2789
Federico Delbonis,M,0,Baseline grinder / counterpuncher,2786
Tim Van Rijthoven,M,2,Slice & variety,2759
Alexander Shevchenko,M,0,Baseline grinder / counterpuncher,2735
Jack Sock,M,3,Big-serving baseliner,2722
Mikhail Kukushkin,M,0,Baseline grinder / counterpuncher,2718
Andrei Chesnokov,M,0,Baseline grinder / counterpuncher,2717
Richard Krajicek (1997–2000),M,1,Net-rusher / serve-volleyer,2713
Alex Michelsen,M,0,Baseline grinder / counterpuncher,2706
Roman Safiullin,M,3,Big-serving baseliner,2703
Sebastien Grosjean,M,3,Big-serving baseliner,2677
Arnaud Clement,M,0,Baseline grinder / counterpuncher,2652
Leonardo Mayer,M,3,Big-serving baseliner,2650
Daniel Elahi Galan,M,0,Baseline grinder / counterpuncher,2620
Nishesh Basavareddy,M,0,Baseline grinder / counterpuncher,2595
Joao Sousa,M,0,Baseline grinder / counterpuncher,2561
Mikael Ymer,M,0,Baseline grinder / counterpuncher,2556
Radu Albot,M,0,Baseline grinder / counterpuncher,2544
Pierre Hugues Herbert,M,3,Big-serving baseliner,2513
Sergiy Stakhovsky,M,2,Slice & variety,2455
Gilles Muller,M,2,Slice & variety,2378
Dustin Brown,M,1,Net-rusher / serve-volleyer,2358
Mardy Fish,M,3,Big-serving baseliner,2347
Marc Rosset,M,3,Big-serving baseliner,2266
Gijs Brouwer,M,3,Big-serving baseliner,2264
Tennys Sandgren,M,3,Big-serving baseliner,2259
Nicolas Mahut,M,2,Slice & variety,2255
Jonas Bjorkman,M,1,Net-rusher / serve-volleyer,2242
Nicolas Massu,M,0,Baseline grinder / counterpuncher,2237
Thomas Johansson,M,0,Baseline grinder / counterpuncher,2229
Otto Virtanen,M,3,Big-serving baseliner,2174
Gabriel Diallo,M,3,Big-serving baseliner,2171
Aleksandar Vukic,M,3,Big-serving baseliner,2147
Jiri Novak,M,0,Baseline grinder / counterpuncher,2143
Wayne Ferreira,M,3,Big-serving baseliner,2138
Mariano Navone,M,0,Baseline grinder / counterpuncher,2102
Yannick Hanfmann,M,3,Big-serving baseliner,2100
Fabrice Santoro,M,0,Baseline grinder / counterpuncher,2088
Rinky Hijikata,M,3,Big-serving baseliner,2051
Alex Molcan,M,0,Baseline grinder / counterpuncher,2043
Arthur Cazaux,M,3,Big-serving baseliner,2037
Thiago Monteiro,M,3,Big-serving baseliner,2010
Iga Swiatek,W,1,All-courter,28272
Elina Svitolina,W,1,All-courter,21508
Caroline Wozniacki,W,3,Baseline grinder / counterpuncher,20874
Serena Williams,W,2,Big serve / first-strike,19698
Elena Rybakina,W,2,Big serve / first-strike,17887
Kiki Bertens,W,2,Big serve / first-strike,17141
Bianca Andreescu (2017–2022),W,1,All-courter,16694
Mirra Andreeva,W,3,Baseline grinder / counterpuncher,15906
Maria Sharapova,W,2,Big serve / first-strike,15431
Coco Gauff,W,1,All-courter,14178
Petra Kvitova,W,2,Big serve / first-strike,13431
Garbine Muguruza,W,1,All-courter,12832
Steffi Graf,W,0,Slice & net specialist,12324
Sofia Kenin,W,1,All-courter,11471
Angelique Kerber,W,3,Baseline grinder / counterpuncher,11421
Bianca Andreescu (2023–2026),W,1,All-courter,10543
Belinda Bencic,W,1,All-courter,10471
Amanda Anisimova,W,2,Big serve / first-strike,10243
Karolina Muchova,W,3,Baseline grinder / counterpuncher,10097
Naomi Osaka,W,2,Big serve / first-strike,9299
Ekaterina Alexandrova,W,2,Big serve / first-strike,9069
Maria Sakkari,W,1,All-courter,9048
Emma Raducanu,W,3,Baseline grinder / counterpuncher,9017
Madison Keys,W,2,Big serve / first-strike,8990
Jessica Pegula (2015–2024),W,1,All-courter,8899
Marta Kostyuk,W,1,All-courter,8896
Arantxa Rus,W,3,Baseline grinder / counterpuncher,8829
Donna Vekic,W,2,Big serve / first-strike,7886
Aryna Sabalenka,W,2,Big serve / first-strike,7832
Venus Williams (1997–2014),W,1,All-courter,7611
Agnieszka Radwanska,W,3,Baseline grinder / counterpuncher,7580
Justine Henin,W,1,All-courter,7397
Ashleigh Barty,W,0,Slice & net specialist,7270
Karolina Pliskova (2013–2019),W,2,Big serve / first-strike,7253
Jasmine Paolini,W,1,All-courter,7239
Paula Badosa,W,1,All-courter,7202
Victoria Azarenka (2009–2019),W,1,All-courter,7174
Jelena Ostapenko,W,2,Big serve / first-strike,7032
Elena Dementieva,W,3,Baseline grinder / counterpuncher,6998
Qinwen Zheng,W,2,Big serve / first-strike,6752
Ana Ivanovic,W,2,Big serve / first-strike,6751
Ons Jabeur,W,2,Big serve / first-strike,6570
Kim Clijsters,W,3,Baseline grinder / counterpuncher,6502
Victoria Azarenka (2020–2025),W,1,All-courter,6464
Linda Noskova,W,2,Big serve / first-strike,6279
Venus Williams (2015–2026),W,1,All-courter,6255
Leylah Fernandez,W,1,All-courter,6145
Iva Jovic,W,1,All-courter,6134
Danielle Collins,W,2,Big serve / first-strike,5908
Liudmila Samsonova,W,2,Big serve / first-strike,5901
Clara Tauson,W,2,Big serve / first-strike,5842
Marketa Vondrousova,W,1,All-courter,5778
Veronika Kudermetova,W,2,Big serve / first-strike,5706
Elise Mertens,W,1,All-courter,5549
Daria Kasatkina (2015–2022),W,3,Baseline grinder / counterpuncher,5482
Magda Linette (2016–2024),W,3,Baseline grinder / counterpuncher,5422
Caroline Garcia,W,2,Big serve / first-strike,5364
Eugenie Bouchard (2013–2016),W,1,All-courter,5346
Martina Navratilova,W,0,Slice & net specialist,5323
Marie Bouzkova,W,3,Baseline grinder / counterpuncher,5303
Anett Kontaveit,W,2,Big serve / first-strike,5281
Camila Giorgi,W,1,All-courter,5280
Svetlana Kuznetsova,W,3,Baseline grinder / counterpuncher,5264
Lindsay Davenport,W,2,Big serve / first-strike,5256
Anna Kalinskaya,W,1,All-courter,5137
Martina Hingis,W,3,Baseline grinder / counterpuncher,5070
Sara Sorribes Tormo,W,3,Baseline grinder / counterpuncher,5038
Carla Suarez Navarro,W,3,Baseline grinder / counterpuncher,4876
Sorana Cirstea,W,1,All-courter,4789
Monica Seles,W,1,All-courter,4784
Sloane Stephens,W,3,Baseline grinder / counterpuncher,4740
Anastasia Pavlyuchenkova,W,1,All-courter,4587
Anastasia Potapova,W,1,All-courter,4442
Dayana Yastremska,W,2,Big serve / first-strike,4425
Karolina Pliskova (2020–2026),W,2,Big serve / first-strike,4293
Suzan Lamens,W,1,All-courter,4284
Yulia Putintseva,W,3,Baseline grinder / counterpuncher,4273
Alize Cornet,W,3,Baseline grinder / counterpuncher,4259
Daria Kasatkina (2023–2026),W,1,All-courter,4248
Katerina Siniakova,W,1,All-courter,4191
Magda Linette (2025–2026),W,2,Big serve / first-strike,4167
Jil Teichmann,W,3,Baseline grinder / counterpuncher,4165
Barbora Krejcikova,W,2,Big serve / first-strike,4049
Olga Danilovic,W,1,All-courter,4035
Lucie Safarova,W,2,Big serve / first-strike,3931
Dominika Cibulkova,W,1,All-courter,3909
Diana Shnaider,W,1,All-courter,3897
Sara Errani,W,3,Baseline grinder / counterpuncher,3722
Jelena Jankovic,W,3,Baseline grinder / counterpuncher,3657
Amelie Mauresmo,W,0,Slice & net specialist,3644
Emma Navarro,W,1,All-courter,3608
Arantxa Sanchez Vicario,W,3,Baseline grinder / counterpuncher,3601
Alison Riske Amritraj,W,1,All-courter,3594
Su Wei Hsieh,W,3,Baseline grinder / counterpuncher,3590
Samantha Stosur,W,1,All-courter,3574
Petra Martic,W,3,Baseline grinder / counterpuncher,3562
Chris Evert,W,3,Baseline grinder / counterpuncher,3551
Aliaksandra Sasnovich,W,1,All-courter,3546
Laura Siegemund,W,1,All-courter,3372
Sabine Lisicki,W,2,Big serve / first-strike,3370
Victoria Mboko,W,1,All-courter,3334
Julia Goerges,W,2,Big serve / first-strike,3310
Linda Fruhvirtova,W,1,All-courter,3166
Ashlyn Krueger,W,2,Big serve / first-strike,3097
Magdalena Frech,W,3,Baseline grinder / counterpuncher,3041
Katie Volynets,W,3,Baseline grinder / counterpuncher,3006
Jessica Pegula (2025–2026),W,1,All-courter,2877
Eugenie Bouchard (2017–2023),W,1,All-courter,2865
Kristina Mladenovic,W,1,All-courter,2864
Ajla Tomljanovic,W,1,All-courter,2862
Johanna Konta,W,2,Big serve / first-strike,2858
Alycia Parks,W,2,Big serve / first-strike,2854
Anhelina Kalinina,W,3,Baseline grinder / counterpuncher,2825
Xin Yu Wang,W,1,All-courter,2742
Mary Pierce,W,3,Baseline grinder / counterpuncher,2735
Katie Boulter,W,2,Big serve / first-strike,2711
Tamara Zidansek,W,3,Baseline grinder / counterpuncher,2703
Arianne Hartono,W,1,All-courter,2674
Jaqueline Cristian,W,1,All-courter,2664
Tatjana Maria,W,0,Slice & net specialist,2648
Polona Hercog,W,1,All-courter,2648
Kaja Juvan,W,3,Baseline grinder / counterpuncher,2638
Jennifer Brady,W,2,Big serve / first-strike,2628
Shelby Rogers,W,1,All-courter,2601
Elina Avanesyan,W,3,Baseline grinder / counterpuncher,2572
Beatriz Haddad Maia,W,1,All-courter,2564
Camila Osorio,W,1,All-courter,2564
Viktorija Golubic,W,3,Baseline grinder / counterpuncher,2562
Andrea Petkovic,W,1,All-courter,2550
Anna Blinkova,W,1,All-courter,2473
Alexandra Eala,W,1,All-courter,2456
Anna Bondar,W,1,All-courter,2436
Shuai Zhang,W,1,All-courter,2387
Eva Lys,W,1,All-courter,2343
Lesia Tsurenko,W,3,Baseline grinder / counterpuncher,2336
Taylor Townsend,W,0,Slice & net specialist,2323
Rebecca Marino,W,2,Big serve / first-strike,2284
Peyton Stearns,W,1,All-courter,2269
Maya Joint,W,1,All-courter,2233
Daria Saville,W,1,All-courter,2225
Anastasija Sevastova,W,3,Baseline grinder / counterpuncher,2221
Dinara Safina,W,1,All-courter,2219
Simona Halep,W,1,All-courter,2180
Talia Gibson,W,2,Big serve / first-strike,2167
Flavia Pennetta,W,3,Baseline grinder / counterpuncher,2135
Na Li,W,1,All-courter,2102
Coco Vandeweghe,W,2,Big serve / first-strike,2078
Bernarda Pera,W,1,All-courter,2060
Lauren Davis,W,1,All-courter,2059
Monica Niculescu,W,0,Slice & net specialist,2031
Anastasia Myskina,W,3,Baseline grinder / counterpuncher,2030
Nuria Parrizas Diaz,W,3,Baseline grinder / counterpuncher,2020
