player,gender,archetype,shots,avg_wpa_lost,accuracy,archetype_mean,class_rel_z,rank_overall,rank_in_archetype,archetype_size
Maxime Cressy,M,Net-rusher / serve-volleyer,9063,0.0974,55.7326,0.0891,1.385,236,24,26
Alexander Shevchenko,M,Baseline grinder / counterpuncher,6296,0.078,62.6179,0.0687,1.4029,136,78,82
Pierre Hugues Herbert,M,Big-serving baseliner,4813,0.0905,58.091,0.0795,1.4369,213,97,107
Tim Henman (1995–1999),M,Net-rusher / serve-volleyer,5843,0.0978,55.6158,0.0891,1.4428,237,25,26
Sam Querrey,M,Big-serving baseliner,6467,0.0908,57.9839,0.0795,1.4768,215,98,107
Nicolas Jarry,M,Big-serving baseliner,15507,0.0911,57.8963,0.0795,1.5095,217,99,107
Goran Ivanisevic (1995–2001),M,Net-rusher / serve-volleyer,8019,0.0988,55.2714,0.0891,1.6139,238,26,26
Aslan Karatsev,M,Big-serving baseliner,10766,0.0923,57.4805,0.0795,1.6654,222,100,107
Jeremy Chardy,M,Big-serving baseliner,6515,0.093,57.2269,0.0795,1.761,224,101,107
Alejandro Davidovich Fokina,M,Baseline grinder / counterpuncher,23712,0.0808,61.5824,0.0687,1.8197,153,79,82
Petr Korda,M,Big-serving baseliner,10236,0.0942,56.812,0.0795,1.9184,228,102,107
Gabriel Diallo,M,Big-serving baseliner,4405,0.0946,56.7041,0.0795,1.9595,229,103,107
John Isner,M,Big-serving baseliner,27611,0.0951,56.5136,0.0795,2.0323,230,104,107
Jimmy Connors (1974–1984),M,Baseline grinder / counterpuncher,10423,0.0823,61.0419,0.0687,2.04,169,80,82
Vasek Pospisil,M,Big-serving baseliner,5602,0.0953,56.4445,0.0795,2.0587,231,105,107
Ivo Karlovic,M,Slice & variety,11922,0.1034,53.7658,0.0839,2.0964,240,25,26
Lorenzo Sonego,M,Baseline grinder / counterpuncher,16316,0.0834,60.6145,0.0687,2.2156,178,81,82
Benoit Paire (2020–2022),M,Big-serving baseliner,5698,0.0971,55.8279,0.0795,2.2963,235,106,107
Christopher Eubanks,M,Slice & variety,5207,0.1077,52.4099,0.0839,2.5535,241,26,26
Reilly Opelka,M,Big-serving baseliner,15405,0.1005,54.7132,0.0795,2.7325,239,107,107
Alexandr Dolgopolov,M,Baseline grinder / counterpuncher,9149,0.0876,59.1083,0.0687,2.8445,204,82,82
Caroline Wozniacki,W,Baseline grinder / counterpuncher,58330,0.0525,72.9929,0.0684,-2.4192,1,1,39
Linda Fruhvirtova,W,All-courter,8389,0.0606,69.505,0.0775,-2.3864,6,1,67
Sara Sorribes Tormo,W,Baseline grinder / counterpuncher,17691,0.0538,72.405,0.0684,-2.2148,2,2,39
Daria Kasatkina (2023–2026),W,All-courter,11246,0.0645,67.8996,0.0775,-1.8362,12,2,67
Jennifer Brady,W,Big serve / first-strike,6221,0.0711,65.2843,0.0864,-1.7137,37,1,39
Sara Errani,W,Baseline grinder / counterpuncher,10726,0.0572,70.9587,0.0684,-1.7046,3,3,39
Agnieszka Radwanska,W,Baseline grinder / counterpuncher,20466,0.0574,70.8584,0.0684,-1.6689,4,4,39
Elina Svitolina,W,All-courter,53757,0.0663,67.1953,0.0775,-1.5908,15,3,67
Monica Seles,W,All-courter,12337,0.0676,66.6557,0.0775,-1.401,17,4,67
Victoria Azarenka (2020–2025),W,All-courter,15935,0.0678,66.5584,0.0775,-1.3666,19,5,67
Kiki Bertens,W,Big serve / first-strike,42784,0.0743,64.0152,0.0864,-1.3491,62,2,39
Simona Halep,W,All-courter,5954,0.0681,66.4671,0.0775,-1.3343,21,6,67
Martina Hingis,W,Baseline grinder / counterpuncher,13674,0.06,69.7609,0.0684,-1.2742,5,5,39
Lindsay Davenport,W,Big serve / first-strike,11748,0.0751,63.715,0.0864,-1.2617,67,3,39
Victoria Azarenka (2009–2019),W,All-courter,16634,0.0686,66.2478,0.0775,-1.2564,24,7,67
Paula Badosa,W,All-courter,17689,0.0687,66.2216,0.0775,-1.2472,25,8,67
Suzan Lamens,W,All-courter,11643,0.069,66.1118,0.0775,-1.2081,26,9,67
Daria Kasatkina (2015–2022),W,Baseline grinder / counterpuncher,15821,0.061,69.3378,0.0684,-1.1204,7,6,39
Belinda Bencic,W,All-courter,23305,0.0697,65.8063,0.0775,-1.099,30,10,67
Karolina Pliskova (2013–2019),W,Big serve / first-strike,15348,0.0767,63.1003,0.0864,-1.0816,75,4,39
Katie Volynets,W,Baseline grinder / counterpuncher,8876,0.0613,69.2261,0.0684,-1.0797,8,7,39
Emma Navarro,W,All-courter,9181,0.0701,65.6639,0.0775,-1.048,31,11,67
Angelique Kerber,W,Baseline grinder / counterpuncher,30320,0.0617,69.0537,0.0684,-1.0166,9,8,39
Magdalena Frech,W,Baseline grinder / counterpuncher,8415,0.062,68.9343,0.0684,-0.9729,10,9,39
Amelie Mauresmo,W,Slice & net specialist,9420,0.0692,66.0082,0.0754,-0.9628,28,1,7
Clara Tauson,W,Big serve / first-strike,12185,0.0782,62.5645,0.0864,-0.9232,85,5,39
Jasmine Paolini,W,All-courter,17358,0.0715,65.1075,0.0775,-0.8477,39,12,67
Ana Ivanovic,W,Big serve / first-strike,14941,0.0793,62.1272,0.0864,-0.7929,92,6,39
Dinara Safina,W,All-courter,5797,0.072,64.93,0.0775,-0.7834,42,13,67
Alexandra Eala,W,All-courter,5461,0.072,64.9171,0.0775,-0.7788,43,14,67
Maria Sharapova,W,Big serve / first-strike,35240,0.0795,62.0582,0.0864,-0.7723,93,7,39
Elena Rybakina,W,Big serve / first-strike,37525,0.0799,61.9203,0.0864,-0.7309,97,8,39
Magda Linette (2025–2026),W,Big serve / first-strike,9544,0.08,61.8921,0.0864,-0.7225,99,9,39
Tatjana Maria,W,Slice & net specialist,6749,0.0708,65.3906,0.0754,-0.7193,34,2,7
Monica Niculescu,W,Slice & net specialist,6004,0.0709,65.3541,0.0754,-0.7049,35,3,7
Chris Evert,W,Baseline grinder / counterpuncher,11077,0.0638,68.1936,0.0684,-0.6998,11,10,39
Daria Saville,W,All-courter,5571,0.0726,64.6813,0.0775,-0.6931,47,15,67
Johanna Konta,W,Big serve / first-strike,6221,0.0804,61.7442,0.0864,-0.678,102,10,39
Marketa Vondrousova,W,All-courter,14669,0.0727,64.6315,0.0775,-0.675,48,16,67
Beatriz Haddad Maia,W,All-courter,6740,0.0728,64.6189,0.0775,-0.6704,49,17,67
Donna Vekic,W,Big serve / first-strike,17241,0.0806,61.6716,0.0864,-0.6562,105,11,39
Anett Kontaveit,W,Big serve / first-strike,11627,0.0806,61.643,0.0864,-0.6476,106,12,39
Iga Swiatek,W,All-courter,64432,0.0731,64.4897,0.0775,-0.6233,53,18,67
Alison Riske Amritraj,W,All-courter,9095,0.0731,64.4874,0.0775,-0.6224,54,19,67
Jessica Pegula (2025–2026),W,All-courter,6573,0.0733,64.4138,0.0775,-0.5955,57,20,67
Serena Williams,W,Big serve / first-strike,41893,0.0812,61.4476,0.0864,-0.5886,107,13,39
Qinwen Zheng,W,Big serve / first-strike,15224,0.0813,61.4119,0.0864,-0.5778,109,14,39
Justine Henin,W,All-courter,18490,0.0736,64.315,0.0775,-0.5594,58,21,67
Lucie Safarova,W,Big serve / first-strike,8490,0.0814,61.3495,0.0864,-0.5589,110,15,39
Flavia Pennetta,W,Baseline grinder / counterpuncher,5964,0.0648,67.7957,0.0684,-0.5518,13,11,39
Elise Mertens,W,All-courter,13442,0.0741,64.1225,0.0775,-0.4888,61,22,67
Anna Bondar,W,All-courter,5678,0.0744,64.0069,0.0775,-0.4464,63,23,67
Naomi Osaka,W,Big serve / first-strike,19883,0.0827,60.8984,0.0864,-0.4218,112,16,39
Coco Gauff,W,All-courter,34813,0.0745,63.9392,0.0775,-0.4214,64,24,67
Garbine Muguruza,W,All-courter,30434,0.0748,63.8561,0.0775,-0.3908,66,25,67
Elena Dementieva,W,Baseline grinder / counterpuncher,18918,0.0659,67.3568,0.0684,-0.3876,14,12,39
Jaqueline Cristian,W,All-courter,6932,0.0752,63.7037,0.0775,-0.3346,68,26,67
Karolina Pliskova (2020–2026),W,Big serve / first-strike,9054,0.0835,60.608,0.0864,-0.333,118,17,39
Iva Jovic,W,All-courter,14293,0.0756,63.526,0.0775,-0.2688,70,27,67
Dominika Cibulkova,W,All-courter,8984,0.0758,63.4432,0.0775,-0.2381,71,28,67
Alize Cornet,W,Baseline grinder / counterpuncher,12292,0.0671,66.8777,0.0684,-0.2072,16,13,39
Andrea Petkovic,W,All-courter,6091,0.0761,63.3444,0.0775,-0.2014,72,29,67
Ashlyn Krueger,W,Big serve / first-strike,7019,0.0851,60.0294,0.0864,-0.1548,123,18,39
Linda Noskova,W,Big serve / first-strike,12862,0.0853,59.9593,0.0864,-0.1331,124,19,39
Steffi Graf,W,Slice & net specialist,33919,0.0746,63.9037,0.0754,-0.1235,65,4,7
Veronika Kudermetova,W,Big serve / first-strike,12887,0.0853,59.9249,0.0864,-0.1224,125,20,39
